"caseId","activity","timestamp"
"33","helper transition 8[{operating lease procedure should be used}->{XOR}]","63587996707988"
"32","helper transition 8[{operating lease procedure should be used}->{XOR}]","63587996707988"
"33","creation of master record for tangible assets","63588000307988"
"32","creation of master record for tangible assets","63588000307988"
"33","helper transition 19[{XOR}->{acquisition within group to be posted}]","63588003907988"
"32","helper transition 19[{XOR}->{acquisition within group to be posted}]","63588003907988"
"32","acquisition within group to be posted","63588007507988"
"33","acquisition within group to be posted","63588007507988"
"32","processing of asset acquisition","63588011107988"
"33","processing of asset acquisition","63588011107988"
"33","acquisition within group posted","63588014707988"
"32","acquisition within group posted","63588014707988"
"32","helper transition 15[{acquisition within group posted}->{XOR}]","63588018307988"
"33","helper transition 15[{acquisition within group posted}->{XOR}]","63588018307988"
"32","END FUNCTION","63588021907988"
"33","END FUNCTION","63588021907988"
"33","END EVENT","63588025507988"
"32","END EVENT","63588025507988"
"34","START EVENT","63588169507988"
"35","START EVENT","63588169507988"
"34","START FUNCTION","63588173107988"
"35","START FUNCTION","63588173107988"
"35","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588176707988"
"34","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588176707988"
"35","operating lease procedure should be used","63588180307988"
"34","operating lease procedure should be used","63588180307988"
"34","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588183907988"
"35","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588183907988"
"34","creation of master record for tangible assets","63588187507988"
"35","creation of master record for tangible assets","63588187507988"
"34","helper transition 4[{XOR}->{retirement within group to be posted}]","63588191107988"
"35","helper transition 4[{XOR}->{retirement within group to be posted}]","63588191107988"
"34","retirement within group to be posted","63588194707988"
"35","retirement within group to be posted","63588194707988"
"35","retirement","63588198307988"
"34","retirement","63588198307988"
"34","retirement from group posted","63588201907988"
"35","retirement from group posted","63588201907988"
"34","helper transition 7[{retirement from group posted}->{XOR}]","63588205507988"
"35","helper transition 7[{retirement from group posted}->{XOR}]","63588205507988"
"35","END FUNCTION","63588209107988"
"34","END FUNCTION","63588209107988"
"35","END EVENT","63588212707988"
"34","END EVENT","63588212707988"
